block_id,location,area,lon,lat,historical_demand,rank,priority,persistence,months_nonzero,months_observed,avg_persons,peak_persons,latest_demand,latest_individuals,latest_tents,latest_vehicles,longitudinal_data,business_in_block,nearest_business_m,business_within_200m,business_within_400m,business_within_800m,restaurant_in_block,nearest_restaurant_m,restaurant_within_200m,restaurant_within_400m,restaurant_within_800m,foodsite_in_block,nearest_foodsite_m,foodsite_within_200m,foodsite_within_400m,foodsite_within_800m,unserved_need,supply_within_400m,pantry_within_400m,nearest_pantry_m,pantry_days_per_week,pantry_daily_within_400m,food_access_days_per_week,unserved_need_daily,unserved_need_any
17TH_ST_K_ST,17TH ST & K ST,East Village,-117.1489822,32.7073124,74.82,1,high,1.0,12.0,12.0,74.82000000000001,162.0,79.75,36,25.0,0,True,0,367.4,0,1,3,0,,0,0,0,0,298.2,0,2,2,0.0,1,1,373.1,7.0,1,7.0,0.0,0.0
09TH_AV_E_ST,09TH AV & E ST,East Village,-117.15698,32.7141617,29.82,2,high,1.0,12.0,12.0,29.8175,60.25,10.25,5,3.0,0,True,0,243.5,0,3,12,0,,0,0,0,0,100.5,2,2,3,0.0,3,1,279.1,0.23,0,0.23,29.82,0.0
15TH_ST_IMPERIAL_AV,15TH ST & IMPERIAL AV,East Village,-117.1511004,32.7057566,28.42,3,high,1.0,12.0,12.0,28.419166666666666,62.03,19.03,17,0.0,1,True,0,538.0,0,0,5,0,,0,0,0,0,246.4,0,1,2,0.0,0,0,425.1,0.0,0,0.0,28.42,28.42
08TH_AV_E_ST,08TH AV & E ST,East Village,-117.1578739,32.7141511,27.39,4,high,1.0,12.0,12.0,27.3875,62.31,12.5,9,2.0,0,True,0,178.3,1,4,11,0,,0,0,0,0,108.9,2,2,3,0.0,4,1,213.9,0.23,0,0.23,27.39,0.0
PARK_BL_J_ST,PARK BL & J ST,East Village,-117.1540298,32.7087234,23.23,5,high,0.917,11.0,12.0,23.229166666666668,58.25,26.5,23,2.0,0,True,0,305.0,0,1,9,0,,0,0,0,0,509.4,0,0,4,23.229166666666668,1,1,208.9,7.0,1,7.0,0.0,0.0
16TH_ST_MARKET_ST,16TH ST & MARKET ST,East Village,-117.1499028,32.7109864,22.95,6,high,1.0,12.0,12.0,22.9525,43.5,15.75,7,5.0,0,True,1,54.9,2,2,3,0,,0,0,0,0,237.1,0,1,4,0.0,2,1,256.8,7.0,1,7.0,0.0,0.0
03RD_AV_A_ST,03RD AV & A ST,City Center,-117.1629391,32.7177955,21.4,7,high,0.833,10.0,12.0,21.39583333333333,65.25,64.0,64,0.0,0,True,0,274.2,0,5,8,0,,0,0,0,0,202.0,0,2,5,0.0,5,0,411.2,0.0,0,0.0,21.4,21.4
19TH_ST_MARKET_ST,19TH ST & MARKET ST,Outside Perimeter,-117.1471172,32.7109932,17.87,8,high,,,,,,17.869999999999997,1,5.0,4,False,0,185.2,1,2,2,0,,0,0,0,0,147.4,1,1,2,0.0,2,0,486.6,0.0,0,0.0,17.87,17.87
17TH_ST_ISLAND_AV,17TH ST & ISLAND AV,East Village,-117.1489889,32.7099281,17.52,9,high,1.0,12.0,12.0,17.515833333333333,39.0,5.0,5,0.0,0,True,0,114.1,2,2,3,0,,0,0,0,0,112.3,1,1,3,0.0,2,1,286.0,7.0,1,7.0,0.0,0.0
S_16TH_ST_NATIONAL_AV,S 16TH ST & NATIONAL AV,Outside Perimeter,-117.1514994,32.7044166,16.0,10,high,,,,,,16.0,2,8.0,0,False,0,625.3,0,0,3,0,,0,0,0,0,192.9,1,1,2,0.0,0,0,567.8,0.0,0,0.0,16.0,16.0
